UF,Nom_Mun,PopEst2021,PIB_per_capita,lat,long
RS,Tio Hugo,3078.0,56784.45,-28.5794589999999,-52.5992009969999
RS,Rolador,2270.0,71327.05,-28.25644059,-54.817472390999896
MT,Santa Rita do Trivelato,3602.0,343161.27,-13.816183311,-55.274178929
BA,Dias d'Ávila,83705.0,36442.65,-12.6139698169999,-38.3009710429999
RN,Caicó,68726.0,20295.8,-6.46256257999994,-37.0956104529999
RN,Cruzeta,7968.0,15454.6,-6.41106215099995,-36.7850352999999
RN,Jardim do Seridó,12397.0,16777.7,-6.5856794469999596,-36.776402135000005
PE,Caetés,29065.0,14578.59,-8.77245563899993,-36.626290692999895
PE,Calçado,10983.0,10497.94,-8.74098419899997,-36.335972610999896
PE,Canhotinho,24743.0,10232.04,-8.88152462799997,-36.191783367999996
PE,Capoeiras,20048.0,12173.46,-8.74058958299997,-36.6279805619999
PE,Altinho,22996.0,9679.46,-8.48778435099996,-36.0595767799999
PE,Angelim,11301.0,12588.25,-8.888201696999941,-36.288062970999896
PE,Jucati,11545.0,11197.05,-8.70673087199998,-36.488895553000006
RN,João Câmara,35360.0,35911.78,-5.53911710899996,-35.8185865029999
RN,Poço Branco,15646.0,8427.81,-5.62076143899998,-35.660557781
PE,Paranatama,11608.0,24618.65,-8.92056956499994,-36.659522130999996
PE,Saloá,15880.0,10771.47,-8.97390294899998,-36.6897159059999
RN,Bento Fernandes,5552.0,15927.67,-5.69237048599996,-35.820718768999896
PE,Alagoinha,14798.0,9794.9,-8.46489111999995,-36.776069847
PE,Arcoverde,75295.0,16141.61,-8.41790864499995,-37.057144879000006
PE,Buíque,59448.0,9235.21,-8.62301754599997,-37.155808549
PE,Manari,22110.0,6293.67,-8.961018605999929,-37.624570317
PE,Pedra,22716.0,13488.22,-8.49994685899998,-36.945902667
RN,Jardim de Angicos,2600.0,24766.12,-5.6509167923842085,-35.9709674092096
PE,Cabrobó,34778.0,12676.5,-8.51122075499995,-39.3135095379999
PE,Floresta,33488.0,13294.71,-8.599291662999969,-38.5720132069999
PE,Inajá,24034.0,8191.73,-8.901785721999941,-37.825440445
MG,Almenara,42380.0,15924.96,-16.1767174079999,-40.693820671
PI,Madeiro,8372.0,8975.26,-3.48473933999998,-42.503138107
PI,Matias Olímpio,10979.0,8703.44,-3.7149233689999597,-42.55506467
PE,Lagoa Grande,26090.0,17510.3,-8.99463153399995,-40.270240061
MA,Cururupu,32559.0,8126.4,-1.8230475169999598,-44.868191657
MG,Águas Vermelhas,13656.0,17329.28,-15.746614801,-41.458389882999896
MG,Curral de Dentro,7867.0,10226.6,-15.93561798,-41.855322841
MG,Divisa Alegre,6946.0,25656.27,-15.722615781999899,-41.34472296
MG,Bandeira,4738.0,12476.94,-15.88575566685797,-40.559956451677564
MG,Berizal,4792.0,12734.93,-15.613149448201076,-41.74268260429982
MG,Cachoeira de Pajeú,9470.0,13262.75,-15.967238789000001,-41.496621633000004
PI,São José do Peixe,3737.0,11462.74,-7.49395016799997,-42.567856718
MA,Centro Novo do Maranhão,22056.0,9104.32,-2.14093330499998,-46.123379426999996
MA,Centro do Guilherme,13876.0,7477.72,-2.45052074099993,-46.0387054989999
MA,Santa Luzia,73105.0,10171.02,-3.96729540399997,-45.6633007839999
BA,Coaraci,16128.0,11847.5,-14.638369982,-39.550633459000004
PI,Angical do Piauí,6779.0,9846.26,-6.089535739999969,-42.73797712
PI,Água Branca,17525.0,13921.29,-5.89184529199997,-42.634111402
TO,Araguaína,186245.0,28129.89,-7.195377137999969,-48.21004207
TO,Goiatins,13169.0,17535.44,-7.71454458499994,-47.316463421
TO,Itaguatins,5801.0,14240.76,-5.776607312999939,-47.479850744
TO,Maurilândia do Tocantins,3470.0,16112.55,-5.95491539499994,-47.5100445379999
TO,São Miguel do Tocantins,12445.0,20555.57,-5.5520446919999795,-47.577446044999895
TO,Sítio Novo do Tocantins,8965.0,14820.08,-5.60330681099992,-47.638725025
TO,Augustinópolis,18870.0,16169.5,-5.46717566699994,-47.886996542000006
TO,Axixá do Tocantins,9817.0,14372.21,-5.61798390999996,-47.7721220769999
TO,Carrasco Bonito,4165.0,12139.52,-5.3220572489999505,-48.0378453709999
MG,Francisco Sá,26459.0,17077.75,-16.479462836,-43.494442137
MG,Grão Mogol,15943.0,48352.82,-16.5637592369999,-42.895227872
MG,Indaiabira,7328.0,11914.84,-15.492331221,-42.197765876999895
MG,Catuti,4944.0,11497.57,-15.3611503229999,-42.96268722799989
MG,Capitão Enéas,15388.0,32591.49,-16.322365669,-43.71564695
MG,Coronel Murta,9209.0,13016.09,-16.617019301,-42.186451383
TO,Dueré,4686.0,43697.08,-11.3415220389999,-49.2682447079999
MG,Espinosa,31603.0,11517.31,-14.925470791,-42.812751888
MG,Janaúba,72374.0,22157.83,-15.802379277999899,-43.310656883
MG,Cristália,5992.0,9875.05,-16.717948308,-42.864413852
PI,Santa Luz,5903.0,10584.41,-8.95150700499994,-44.128300441
RN,São Miguel do Gostoso,10441.0,47183.26,-5.12502005299996,-35.6424106429999
RN,Tibau do Sul,14694.0,28299.48,-6.18737615899994,-35.09211461099989
MG,Fruta de Leite,5232.0,8999.57,-16.11713557,-42.528105942
MG,Gameleiras,5084.0,11278.35,-15.083809431,-43.120320121999995
MG,Campo Azul,3830.0,10616.58,-16.506002158999898,-44.8114023529999
MG,Comercinho,6624.0,10285.11,-16.298083994,-41.795525080999894
MG,Coração de Jesus,26620.0,10251.33,-16.686943965999898,-44.36083568299989
MG,Brasília de Minas,32460.0,11627.4,-16.2119096769999,-44.4280259669999
PB,Lucena,13344.0,16716.6,-6.89815389399996,-34.873050701
RN,Arês,14526.0,26616.72,-6.19696851099997,-35.162873909000005
RN,Baía Formosa,9373.0,34677.49,-6.37116958399997,-35.007171813999896
RN,Bom Jesus,10323.0,10591.65,-5.98523911699994,-35.5828375629999
RN,Brejinho,12873.0,10833.97,-6.1953662709999495,-35.3561503769999
RN,Ceará-Mirim,74268.0,13494.44,-5.63756373499996,-35.421758735000004
RN,Extremoz,29282.0,19480.39,-5.70424774199995,-35.289516971
PE,Custódia,37633.0,15780.83,-8.087653428999939,-37.6417014789999
PB,Baía da Traição,9197.0,11727.05,-6.6904005479999595,-34.933551582
PI,Batalha,26951.0,9305.89,-4.020609892999969,-42.086166684
PI,Luzilândia,25521.0,9451.85,-3.46170253799994,-42.372174644999994
PI,Morro do Chapéu do Piauí,6825.0,9150.19,-3.74342665099994,-42.3103629739999
PI,São João do Arraial,8085.0,8439.67,-3.81572346899998,-42.45192021
MA,Carutapera,24095.0,8385.15,-1.20126658499993,-46.018868983999894
MA,Gonçalves Dias,17953.0,8360.04,-5.15391947699993,-44.299752032
MG,Fronteira dos Vales,4542.0,10777.9,-16.890115062999897,-40.924994409
MG,Itaipé,12910.0,9419.18,-17.4002297979999,-41.669283048000004
MG,Mantena,27651.0,17248.55,-18.778282213,-40.9818906289999
MG,Monte Formoso,4939.0,8919.75,-16.868064408,-41.254712502
MG,Nanuque,40583.0,19924.58,-17.8433202129999,-40.3509522909999
MG,Nova Belém,3067.0,27201.82,-18.492284503,-41.1051395979999
MG,Novo Cruzeiro,31339.0,10544.29,-17.4669604559999,-41.879560471999895
MG,Novo Oriente de Minas,10800.0,11256.56,-17.412942196999897,-41.21826865599989
MG,Ouro Verde de Minas,5895.0,11503.59,-18.069991676999898,-41.2745155669999
MG,Padre Paraíso,20346.0,10514.08,-17.072771761687463,-41.48494540170322
MG,Pavão,8390.0,11093.87,-17.4288889009999,-41.0006794339999
MG,Poté,16675.0,10122.67,-17.8082788169999,-41.7884807659999
MG,Caraí,23872.0,8814.85,-17.1859482959999,-41.6958774789999
MG,Crisólita,6814.0,11215.05,-17.237617655,-40.91187508099989
MG,Capitão Andrade,5559.0,10939.49,-19.070780274,-41.8615049439999
MG,Catuji,6206.0,13420.7,-17.3005559289999,-41.5209055329999
MG,Conselheiro Pena,22975.0,16708.53,-19.1744177379999,-41.4708414289999
MG,Cuparaque,5026.0,14734.12,-18.9688473279999,-41.0984442109999
PE,Ibimirim,29585.0,11158.32,-8.538011935999979,-37.696029986999996
PE,Tupanatinga,27793.0,8172.21,-8.75357903699995,-37.343274251000004
MG,Galiléia,6764.0,16814.67,-18.9991916909999,-41.5394905399999
MG,Ataléia,12496.0,15926.39,-18.043387762885118,-41.1114715099378
MG,Botumirim,6259.0,12103.05,-16.864986437,-43.009686819
TO,Esperantina,11280.0,10525.18,-5.36611756099995,-48.537930343
TO,Centenário,2966.0,21765.64,-8.961605550999929,-47.338079039
TO,Itapiratins,3814.0,44971.71,-8.38481206899996,-48.106632235999896
TO,Lizarda,3727.0,17797.6,-9.59540561599994,-46.67319162
TO,São Félix do Tocantins,1610.0,22696.11,-10.160900285,-46.6660948539999
MG,Berilo,11813.0,9551.5,-16.952247662999998,-42.464526274
MG,Chapada do Norte,15334.0,7247.1,-17.0869998939999,-42.5350021269999
MG,Coluna,8810.0,13756.65,-18.231655224814844,-42.8399337666757
MG,Conceição de Ipanema,4581.0,17685.15,-19.9300920139999,-41.693175442999895
MG,Divinolândia de Minas,7655.0,10750.55,-18.802344405999897,-42.6137336219999
RJ,Italva,15387.0,27215.6,-21.4272354169999,-41.6933597529999
RJ,São João da Barra,36731.0,269169.78,-21.6367412469999,-41.046321471999896
MG,Alvinópolis,15135.0,22478.72,-20.110799653,-43.0564778339999
MG,Carbonita,9423.0,23419.5,-17.526999917,-43.0160015419999
MG,Chalé,5695.0,20049.37,-20.0458179469999,-41.687660068
MG,Aricanduva,5305.0,12645.43,-17.8669999119999,-42.557002086999894
